nis,name,jenjang,tingkat,kelas,alamat,birthdate,phone_number,email_address,parent_phone
"5051","Aditya Ramadhan","TK","PG","","Jakarta","2020-05-12","081234567890","aditya@example.com","081329171920"
"5052","Maria Angela","TK","A","","Bandung","2019-07-23","081298765432","maria@example.com","081329171920"
"5053","Raditya Bayu","SD","4","A","Yogyakarta","2015-03-15","081276543210","raditya@example.com","081329171920"
"5054","Nadia Putri","SD","4","B","Surabaya","2014-09-30","081254678921","nadia@example.com","081329171920"
"5055","Dani Permana","SMP","7","A","Semarang","2010-12-05","081298765123","dani@example.com","081329171920"
"5056","Rani Adinda","SMP","9","B","Bandung","2008-11-18","081212345678","rani@example.com","081329171920"
"5057","Fajar Nugraha","SMA","X","1","Jakarta","2007-05-22","081223456789","fajar@example.com","081329171920"
"5058","Rizki Saputra","SMK 1","X MM","A","Semarang","2006-08-11","081298712345","rizki@example.com","081329171920"
"5059","Aisyah Nuraini","SMK 1","X TKJ","","Malang","2005-03-09","081267891234","aisyah@example.com","081329171920"
"5060","Siti Aminah","TK","B","","Bali","2019-01-25","081234567123","siti@example.com","081329171920"
"5061","Fikri Abdullah","TK","A","","Medan","2018-06-11","081234567789","fikri@example.com","081329171920"
"5062","Putri Kartika","SD","1","","Surakarta","2017-02-09","081234567456","putri@example.com","087731335955"
"5063","Rifqi Wicaksono","SD","2","","Palembang","2016-09-17","081234567234","rifqi@example.com","081329171920"
"5064","Zahra Mulyani","SD","3","","Surabaya","2015-07-04","081234567012","zahra@example.com","081329171920"
"5065","Andika Wijaya","SD","5","A","Bandung","2014-04-21","081234567098","andika@example.com","081329171920"
"5066","Dewi Lestari","SD","5","B","Semarang","2013-11-02","081234567456","dewi@example.com","081329171920"
"5067","Dimas Prasetyo","SMP","7","B","Surabaya","2012-03-19","081234567890","dimas@example.com","081329171920"
"5068","Farhan Kurniawan","SMP","8","","Bandung","2011-12-28","081234567001","farhan@example.com","081329171920"
"5069","Nia Astuti","SMP","9","A","Semarang","2010-06-14","081234567003","nia@example.com","081329171920"
"5070","Reza Putra","SMA","X","2","Jakarta","2008-09-05","081234567005","reza@example.com","081329171920"
"5071","Lina Susanti","SMA","XI","Excel","Surabaya","2007-08-22","081234567007","lina@example.com","081329171920"
"5072","Budi Santoso","SMA","XII","IPA","Jakarta","2006-01-13","081234567009","budi@example.com","081329171920"
"5073","Rita Sari","SMA","XII","IPS","Yogyakarta","2006-02-25","081234567011","rita@example.com","081329171920"
"5074","Agus Subroto","SMK 1","XII TKJ","","Bandung","2005-07-31","081234567013","agus@example.com","081329171920"
"5075","Andri Susanto","SMK 1","X MM","B","Jakarta","2006-04-10","081234567015","andri@example.com","081329171920"
"5076","Joko Waluyo","SMK 1","XI MM","A","Surabaya","2005-06-08","081234567017","joko@example.com","081329171920"
"5077","Citra Rahmawati","TK","B","","Bandung","2020-10-22","081234567019","citra@example.com","081329171920"
"5078","Nurul Aini","TK","PG","","Medan","2019-02-18","081234567021","nurul@example.com","081329171920"
"5079","Yoga Pratama","SD","6","","Semarang","2012-12-05","081234567023","yoga@example.com","081329171920"
"5080","Mega Wulandari","SMA","XI","1","Jakarta","2007-03-07","081234567025","mega@example.com","081329171920"
"5081","Anisa Febriani","SD","5","B","Bandung","2013-09-29","081234567027","anisa@example.com","081329171920"
"5082","Bagus Suharto","SMP","7","A","Semarang","2011-11-17","081234567029","bagus@example.com","081329171920"
"5083","Fauzan Zaki","SMP","9","B","Yogyakarta","2009-04-30","081234567031","fauzan@example.com","081329171920"
"5084","Sari Wijaya","SMA","XII","Excel","Bali","2006-10-25","081234567033","sari@example.com","081329171920"
"5085","Nadia Amalia","SMK 1","X MM","A","Surabaya","2005-08-15","081234567035","nadia@example.com","081329171920"
"5086","Gilang Saputra","SMK 1","XI TKJ","","Bandung","2005-05-26","081234567037","gilang@example.com","081329171920"
"5087","Indra Pratama","TK","A","","Jakarta","2018-09-11","081234567039","indra@example.com","081329171920"
"5088","Laras Anindya","TK","B","","Semarang","2017-07-01","081234567041","laras@example.com","081329171920"
"5089","Zaki Rahman","SD","3","","Surakarta","2014-02-20","081234567043","zaki@example.com","081329171920"
"5090","Aulia Rahayu","SD","2","","Medan","2013-05-15","081234567045","aulia@example.com","081329171920"
"5091","Rizal Hakim","SMP","8","","Surabaya","2011-10-03","081234567047","rizal@example.com","081329171920"
"5092","Tika Lestari","SMA","X","2","Bandung","2008-11-14","081234567049","tika@example.com","081329171920"
"5093","Ari Nugroho","SMA","XI","Excel","Jakarta","2007-02-23","081234567051","ari@example.com","081329171920"
"5094","Nando Wirawan","SMK 1","XII MM","","Surabaya","2005-06-29","081234567053","nando@example.com","081329171920"
"5095","Sri Yuliana","SMK 1","XI MM","B","Semarang","2006-08-08","081234567055","sri@example.com","081329171920"
